Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_115.jpg;1.537475;1;0;4.998027;118.189;100.5912;1.397788;36.21663;-0.00196736
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_182.jpg;4.509077;1;0;5.008495;118.432;100.7699;1.443589;36.49485;-0.001436663
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_249.jpg;7.543314;1;0;4.998288;118.7527;101.0116;1.469945;37.37403;0.03357738
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_316.jpg;4.564098;1;0;5.021;118.9903;101.1951;1.433472;38.11719;0.06929759
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_382.jpg;1.572282;1;0;5.011367;119.2262;101.3786;1.33253;38.58223;0.06389146
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_448.jpg;0;1;0;5.01441;119.4615;101.5641;1.267916;38.77044;0.09580326
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_516.jpg;0;1;0;5.003261;119.775;101.8126;1.216514;38.77449;0.1473382
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_582.jpg;0;1;0;5.014432;120.0105;101.9994;1.20527;38.74497;0.1699841
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_648.jpg;0;1;0;5.001515;120.2467;102.1867;1.222695;38.72663;0.1732774
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_716.jpg;0;1;0;5.013081;120.5612;102.4357;1.254984;38.62059;0.1494378
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_782.jpg;0;1;0;5.001359;120.7983;102.6229;1.313563;38.59299;0.1073008
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_848.jpg;0;1;0;5.013117;121.0351;102.8095;1.370349;38.50288;0.04687507
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_916.jpg;0;1;0;5.01791;121.3514;103.0594;1.473704;38.4693;-0.004038457
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_981.jpg;0;1;0;4.993474;121.5876;103.2465;1.514867;38.42947;-0.003191934
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_07_048.jpg;0;1;0;5.007772;121.901;103.4938;1.40467;38.26149;0.000339477
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_07_115.jpg;0;1;0;5.016323;122.1367;103.6788;1.327821;38.22418;-0.00175599
